date,customer_id,product,price,quantity,coupon_code,shipping_city,country,total_price
2025-05-10,86ac1739-8e88-449e-bf7f-e3c53cd55f61,Monitor,249.99,7,,Houston,USA,1749.93
2024-11-18,1ab1456d-a4ed-4c07-9fe4-0f759aea00e5,Headphones,149.99,3,,Ottawa,Canada,449.97
2025-01-19,91d83641-9426-461a-8d5c-46dcdaa2b3cb,Smartphone,699.99,8,10OFF,Toronto,Canada,5599.92
2024-12-16,2ea98dd6-e688-42cb-b03e-b6fd1e06415d,Keyboard,89.99,10,10OFF,Ottawa,Canada,899.9
2024-10-20,6172921f-15bf-41cf-bf20-46c35a468a9d,Laptop,999.99,7,20OFF,Toronto,Canada,6999.93
2024-11-01,f25b20e2-ea88-40f1-b081-df95cf497f84,Laptop,999.99,2,FREESHIP,Leeds,UK,1999.98
2024-07-23,8f77b056-256e-4e5d-907c-bc5cc853a0fe,Smartphone,699.99,3,10OFF,Calgary,Canada,2099.97
2025-01-02,1861b0d6-00e3-43b4-b9bb-da00c6f0c58b,Smartphone,699.99,4,10OFF,Manchester,UK,2799.96
2024-12-26,b37810aa-d591-437f-9030-3200035f7fe1,Laptop,999.99,8,FREESHIP,Manchester,UK,7999.92
2025-01-04,8dbaf971-8f21-4627-8cd6-e42e882a2710,Headphones,149.99,10,FREESHIP,Glasgow,UK,1499.9
2024-12-03,a5ab36df-420f-4741-b6b7-88c336014205,Laptop,999.99,9,10OFF,Vancouver,Canada,8999.91
2024-08-29,a065aae2-719e-4911-aaa7-865c74b057b7,Laptop,999.99,5,,Phoenix,USA,4999.95
2024-12-15,8a950714-7b5b-4f89-85fb-3a6c0a01498f,Laptop,999.99,8,,Houston,USA,7999.92
2024-07-24,0cc65702-1edc-428c-bc33-1212bd609300,Smartphone,699.99,7,FREESHIP,New York,USA,4899.93
2024-06-26,50f9647d-426b-4550-a692-9adb054be17e,Headphones,149.99,3,FREESHIP,Houston,USA,449.97
2025-03-23,05b7e757-989a-422d-8a33-0417bf265950,Smartphone,699.99,6,20OFF,Ottawa,Canada,4199.94
2025-03-10,63238a8c-e0cb-4cba-bf0d-d4a5e48d7a3c,Smartphone,699.99,7,FREESHIP,Manchester,UK,4899.93
2024-08-26,b5a0aa9b-6a54-42d1-9acf-c96b69f85d31,Monitor,249.99,7,FREESHIP,Houston,USA,1749.93
2025-05-18,a74bccec-2d0f-47f6-8ccd-fc4ea1b2dcc8,Headphones,149.99,10,FREESHIP,Montreal,Canada,1499.9
2025-01-01,7fd71ffc-c934-49dc-86eb-2ce0a4440036,Smartphone,699.99,6,,Chicago,USA,4199.94
2024-09-01,2d881bad-3823-4983-b59a-ad9e045793f2,Keyboard,89.99,5,10OFF,Vancouver,Canada,449.95
2024-06-24,0c17e689-6d7f-4e62-9744-9648751576d1,Keyboard,89.99,10,FREESHIP,Birmingham,UK,899.9
2024-10-14,75482713-ce5d-4988-8338-08e35bbed769,Monitor,249.99,5,FREESHIP,Birmingham,UK,1249.95
2025-03-09,cd3dd826-3559-4c6a-80b0-10dea207b347,Laptop,999.99,5,20OFF,Houston,USA,4999.95
2025-02-10,771d6c5e-fc80-4f29-bf21-3c3bdf1c9b52,Monitor,249.99,10,,Chicago,USA,2499.9
2024-09-07,55935600-9dcc-4375-8dd3-9ecd1c3bef93,Laptop,999.99,8,10OFF,Glasgow,UK,7999.92
2025-03-19,373e11c3-15c3-40cd-9406-fffa90cbac25,Smartphone,699.99,9,20OFF,Chicago,USA,6299.91
2024-12-20,62ebb6a9-2c2d-436f-a1bd-d9e7da01bc78,Monitor,249.99,3,NO_CODE,Glasgow,UK,749.97
2024-07-02,af0e31bc-9117-418d-baa7-c729c93a2cec,Keyboard,89.99,9,,Phoenix,USA,809.91
2025-01-10,93e5610d-c582-4ab2-9e62-0efcdb31f68f,Headphones,149.99,9,20OFF,Phoenix,USA,1349.91
2024-07-21,e9876dc3-fd01-4d7d-9f07-753682d84806,Headphones,149.99,8,20OFF,Ottawa,Canada,1199.92
2025-01-22,6bef7534-1ec6-4166-a4c7-5b75b39e320c,Laptop,999.99,3,NO_CODE,London,UK,2999.97
2025-01-27,5e91d578-424c-4564-b65a-0523b864a373,Laptop,999.99,5,,Vancouver,Canada,4999.95
2024-07-06,244a58e7-3352-4612-ba7a-aba3d849dca4,Smartphone,699.99,5,20OFF,Chicago,USA,3499.95
2024-10-14,7f50f55a-2834-4f1c-8cf9-05239738de9b,Smartphone,699.99,5,NO_CODE,Birmingham,UK,3499.95
2025-04-16,7b3a7ec5-659e-4ccd-864b-a99c64cbf9c9,Headphones,149.99,2,,Vancouver,Canada,299.98
2024-06-25,6c15fa97-a790-4338-9cdf-710f836becd8,Monitor,249.99,10,FREESHIP,Glasgow,UK,2499.9
2025-03-07,253cba02-dd59-44d7-8b63-86a58acbe816,Smartphone,699.99,8,20OFF,Leeds,UK,5599.92
2025-02-08,ef5f1a6d-d33b-429b-918a-33f8c3fec004,Smartphone,699.99,9,20OFF,Chicago,USA,6299.91
2024-06-07,cbbf5c97-ac32-4dbb-99cd-4ae55b71cb8c,Headphones,149.99,5,,Houston,USA,749.95
2025-04-04,f1c974a8-cc46-4c81-af24-e326b93499ed,Smartphone,699.99,7,FREESHIP,New York,USA,4899.93
2025-03-12,d531cee3-153f-4414-a996-d36cc5e0929e,Laptop,999.99,8,FREESHIP,Leeds,UK,7999.92
2025-02-23,9ac60aee-3170-423c-af7a-b104586732a4,Monitor,249.99,1,,Montreal,Canada,249.99
2025-03-16,319d5195-e698-4f9e-9d79-b9f00048685b,Headphones,149.99,7,NO_CODE,Montreal,Canada,1049.93
2025-05-15,5f22a74d-624b-430b-8ade-aca23716c8d5,Monitor,249.99,4,10OFF,Houston,USA,999.96
2025-02-19,6bc27031-cda9-4326-bf6f-4b0b3a17ee4b,Headphones,149.99,3,10OFF,Chicago,USA,449.97
2024-09-20,425aead7-8cd5-475a-812d-fb50751e0955,Laptop,999.99,7,NO_CODE,Manchester,UK,6999.93
2025-03-20,acd917bd-92ac-4afd-b7ed-9e9f57456e53,Laptop,999.99,3,,Calgary,Canada,2999.97
2025-04-14,f20a0a16-d43a-40a6-b744-f59b3ff79cca,Headphones,149.99,7,10OFF,Vancouver,Canada,1049.93
2024-07-09,08d366d8-377f-4b78-a7a4-bd76a545329d,Laptop,999.99,9,FREESHIP,Calgary,Canada,8999.91
2025-05-15,4edeb82f-4047-4aab-9291-b7484fb7f903,Keyboard,89.99,4,NO_CODE,Leeds,UK,359.96
2024-12-28,a3be76d6-cd8d-4a95-972c-e2a1560d49e0,Monitor,249.99,5,10OFF,Calgary,Canada,1249.95
2025-05-17,7b30a57a-16f5-40d1-96f0-68789301e8c9,Keyboard,89.99,4,FREESHIP,Houston,USA,359.96
2024-06-14,fe4b4b4b-2496-4a00-a884-adc1f6578975,Keyboard,89.99,6,10OFF,London,UK,539.94
2024-07-26,25ad7e35-14dd-4c53-949b-04e869be65b6,Headphones,149.99,3,20OFF,Los Angeles,USA,449.97
2024-11-14,7dc1bee3-f4d2-4628-a1c9-2bc22f32a7ea,Headphones,149.99,8,20OFF,Ottawa,Canada,1199.92
2024-06-14,eedd9de0-bae7-4671-b2eb-4553293420d6,Keyboard,89.99,9,FREESHIP,Glasgow,UK,809.91
2024-11-18,c71cf7b0-54e0-4786-83b3-4162e406cc13,Monitor,249.99,8,,Ottawa,Canada,1999.92
2024-08-24,e3d6e57a-7db3-4eba-8398-8480c7919a58,Headphones,149.99,8,10OFF,Glasgow,UK,1199.92
2024-08-26,7b79b738-9e2e-483e-989a-6673100008d6,Smartphone,699.99,3,20OFF,Vancouver,Canada,2099.97
2024-10-24,fdd9f14d-bcfa-4b9c-b0eb-b27225486fed,Keyboard,89.99,8,NO_CODE,Manchester,UK,719.92
2024-09-21,92b71c6c-45ee-4783-b25a-efae50c6e737,Keyboard,89.99,8,20OFF,Houston,USA,719.92
2025-02-18,d4f992d2-23ee-4950-993c-73567a3fb2df,Monitor,249.99,1,,New York,USA,249.99
2024-11-09,3a66c55e-d764-47d9-9480-61356112fb71,Monitor,249.99,8,NO_CODE,Vancouver,Canada,1999.92
2024-12-18,2acd32d1-5ba0-4042-9ad1-542d5ccde6ea,Keyboard,89.99,1,10OFF,New York,USA,89.99
2025-01-11,1c1d70ec-00ec-4b1f-9173-8379ee9837a5,Smartphone,699.99,1,20OFF,Houston,USA,699.99
2024-09-15,4aea833c-fe42-4e17-bdd9-a85e2ec06bb0,Laptop,999.99,5,,Toronto,Canada,4999.95
2025-03-11,da49313f-a846-4659-bf21-7ceda1b50a9a,Laptop,999.99,5,FREESHIP,Chicago,USA,4999.95
2024-06-09,10537af6-8232-43ff-9c86-d8fca07f0742,Keyboard,89.99,4,NO_CODE,Manchester,UK,359.96
2024-06-18,6e4dea3f-0cc0-47cb-94d5-73816ec6b1e3,Keyboard,89.99,8,,Birmingham,UK,719.92
2024-08-21,2222a144-53ea-4702-9050-9e8ec94e8eef,Smartphone,699.99,7,,London,UK,4899.93
2024-06-15,ffdaeb06-20a4-4ec8-a31b-f006d4ffa7bc,Monitor,249.99,6,,Chicago,USA,1499.94
2025-01-30,76775f9b-1387-42ca-b7ea-39a0891aec63,Smartphone,699.99,7,,London,UK,4899.93
2025-03-14,f62338e0-1818-464e-b007-97ae880c0406,Smartphone,699.99,7,NO_CODE,Glasgow,UK,4899.93
2025-01-12,d58d8f79-aeb0-452c-85ed-b83d9e808592,Smartphone,699.99,9,10OFF,Birmingham,UK,6299.91
2024-09-02,f7c7be77-cbe3-401e-b923-c77b09dc3455,Laptop,999.99,8,20OFF,Chicago,USA,7999.92
2025-03-07,a1bb0b7a-3bca-401c-8069-c3e4aedddf36,Keyboard,89.99,1,20OFF,Ottawa,Canada,89.99
2024-07-09,1a7a32f7-de88-4af6-a896-a676becc6b77,Smartphone,699.99,7,20OFF,New York,USA,4899.93
2025-03-24,5b8df315-590e-42cb-8a22-64aa217da1e1,Laptop,999.99,8,FREESHIP,Los Angeles,USA,7999.92
2025-05-05,8e6a1768-df94-4c08-a034-4acf4caee521,Smartphone,699.99,9,,Los Angeles,USA,6299.91
2024-08-19,89bf05e1-8959-4ae4-ab3d-bb0950bc819e,Keyboard,89.99,2,NO_CODE,Calgary,Canada,179.98
2024-07-30,3bcea0f9-33e9-4fdc-bdb2-ba3fedd8844f,Laptop,999.99,5,NO_CODE,Montreal,Canada,4999.95
2024-12-14,003bec63-4615-4f54-99eb-2ad2930badc9,Headphones,149.99,3,FREESHIP,Toronto,Canada,449.97
2024-12-13,9b12241f-8c92-4e9f-bb54-b591014bcd1d,Monitor,249.99,7,FREESHIP,Leeds,UK,1749.93
2025-05-05,01b2f074-fdee-41a5-98a5-7a49ce9eef11,Smartphone,699.99,8,NO_CODE,Toronto,Canada,5599.92
2024-06-20,d053beef-ccec-440c-b92c-f80d5b04fcd8,Laptop,999.99,9,20OFF,Leeds,UK,8999.91
2024-06-07,7792d90a-374a-45c7-b138-1aa9570e536d,Monitor,249.99,7,,New York,USA,1749.93
2024-08-31,86d37f6c-b29f-46bd-8e66-9d92a8a8592a,Keyboard,89.99,5,NO_CODE,Toronto,Canada,449.95
2025-02-20,8a0188a4-f70c-44c6-a015-e279f1008c11,Keyboard,89.99,2,,Phoenix,USA,179.98
2024-09-14,94bb4f5b-90ed-4642-8cc8-a63aded92dc0,Headphones,149.99,7,10OFF,Ottawa,Canada,1049.93
2024-06-10,553763e2-26f2-4c81-abf6-ca69394b2f77,Monitor,249.99,1,20OFF,Los Angeles,USA,249.99
2024-11-02,62ef85c3-7cb2-4e21-8425-6c9202694105,Smartphone,699.99,6,,Manchester,UK,4199.94
2025-03-19,6b0eb781-1207-40f0-8140-9e064d9ad580,Monitor,249.99,7,,Phoenix,USA,1749.93
2025-04-07,c7e50b42-4933-4936-99dd-dffd3516039c,Headphones,149.99,6,FREESHIP,Toronto,Canada,899.94
2024-11-09,2a528b6c-02b8-4180-8315-7a62d54709f2,Headphones,149.99,2,NO_CODE,Calgary,Canada,299.98
2024-09-16,7294822e-727d-471a-9486-8e69f3cced18,Keyboard,89.99,4,NO_CODE,Montreal,Canada,359.96
2025-02-20,67c2d3e3-d8ac-42f7-80ee-aa23ff49b204,Keyboard,89.99,9,FREESHIP,Glasgow,UK,809.91
2024-06-08,9b60e3ac-6f6f-4cee-9652-ec0594f6bd3e,Laptop,999.99,7,,Manchester,UK,6999.93
2024-05-30,2228e842-89c7-4403-9aa8-b27c816e0a6a,Monitor,249.99,7,20OFF,Los Angeles,USA,1749.93
2024-11-03,461a4b1c-4b29-470c-b4ca-e2caf37cdea3,Headphones,149.99,2,10OFF,Vancouver,Canada,299.98
2025-02-02,b37bf59b-545b-4909-9e3e-9dfcdc5f1db1,Headphones,149.99,5,,Manchester,UK,749.95
2025-01-22,b635c6e9-72df-40d8-bc9b-dab5f580ca46,Headphones,149.99,6,20OFF,Glasgow,UK,899.94
2025-02-24,d86bbef1-f1d7-49c8-96f6-b96f70b7feee,Smartphone,699.99,2,,Houston,USA,1399.98
2024-08-14,e959f69d-71d3-4612-b675-0757cea8068a,Smartphone,699.99,4,FREESHIP,Chicago,USA,2799.96
2024-09-17,3e56d913-37f3-406f-ad36-8e70a24662d5,Monitor,249.99,9,,Leeds,UK,2249.91
2024-07-07,2ceb05d4-888a-4f37-94f1-10f3ff23635b,Smartphone,699.99,6,20OFF,Phoenix,USA,4199.94
2025-04-04,8a275b3b-bac9-40d1-b871-0fe483400461,Monitor,249.99,6,20OFF,Manchester,UK,1499.94
2024-07-07,aaed8026-5197-4aee-8d50-0bf585c4ace2,Laptop,999.99,6,FREESHIP,New York,USA,5999.94
2024-08-29,a2660eaf-c03d-424d-9e8f-ca6997984f18,Smartphone,699.99,5,FREESHIP,Calgary,Canada,3499.95
2024-09-02,491bb83b-6e5f-4fd9-83d6-42359e9f8342,Headphones,149.99,7,,Los Angeles,USA,1049.93
2024-11-27,663fb0c2-1ac9-4100-be0c-7612de0368d4,Headphones,149.99,7,NO_CODE,Chicago,USA,1049.93
2024-10-03,abda90ea-9e3f-4975-82d7-674ead5648c1,Keyboard,89.99,7,20OFF,Montreal,Canada,629.93
2025-03-02,0158c694-c68c-4b86-988c-4254ec54d3c7,Monitor,249.99,9,10OFF,Birmingham,UK,2249.91
2024-12-30,993205b2-43ce-46f6-b009-ed4559f62769,Headphones,149.99,4,10OFF,Los Angeles,USA,599.96
2024-07-19,9b0ce455-865e-42b4-8d61-51a6a9a684f2,Laptop,999.99,4,10OFF,Manchester,UK,3999.96
2025-04-09,516a039c-b58e-4f08-84f7-23e3fa75641a,Headphones,149.99,4,,Manchester,UK,599.96
2024-06-20,bb0ca261-0367-4de6-8fa2-12928383bfce,Laptop,999.99,10,20OFF,New York,USA,9999.9
2025-02-27,3c1c64eb-b74b-4378-8736-481f441bc7fd,Monitor,249.99,9,10OFF,Los Angeles,USA,2249.91
2025-03-27,42341352-c64f-4a07-9328-7ae276bb75f9,Headphones,149.99,10,NO_CODE,Los Angeles,USA,1499.9
2024-06-20,4843bd59-6888-44da-a30d-7f113a72f784,Laptop,999.99,9,20OFF,Houston,USA,8999.91
2024-08-28,0cb39eb1-319f-46ce-b58e-e09327cfcad5,Keyboard,89.99,3,NO_CODE,Glasgow,UK,269.97
2024-10-07,3bcbb074-e139-494e-93e0-493212f2a1ed,Monitor,249.99,2,NO_CODE,Vancouver,Canada,499.98
2025-02-25,e3a5067e-b4b2-4089-80a2-852a2845f59b,Smartphone,699.99,1,20OFF,Calgary,Canada,699.99
2024-12-28,27c217b1-a3f9-4c7b-aefb-7e58ef6bfe80,Laptop,999.99,3,NO_CODE,Glasgow,UK,2999.97
2025-02-06,f8947a08-9eef-441f-8063-10b0a9fce917,Laptop,999.99,1,NO_CODE,Vancouver,Canada,999.99
2024-05-28,d60b4b7c-0a56-43ad-9907-c9f45e862184,Smartphone,699.99,3,FREESHIP,Ottawa,Canada,2099.97
2025-05-14,c68357d4-a600-4116-b26d-c10ad0efbbb5,Laptop,999.99,3,NO_CODE,Toronto,Canada,2999.97
2025-03-07,e1cf82e7-276b-4a74-9335-d0ad594b0e20,Laptop,999.99,6,NO_CODE,London,UK,5999.94
2025-02-26,76cf9492-91af-4c84-89eb-1dd392cc71bc,Laptop,999.99,9,FREESHIP,Los Angeles,USA,8999.91
2024-11-13,353d6239-b554-40c0-9ac2-1dbf8795bffe,Smartphone,699.99,10,10OFF,Chicago,USA,6999.9
2024-07-05,03c06470-5439-4493-a2da-ae5f8f4ff5c9,Headphones,149.99,1,NO_CODE,Los Angeles,USA,149.99
2024-09-05,3ca9c940-7c53-4d07-9c48-e3eec51a9907,Monitor,249.99,1,NO_CODE,Chicago,USA,249.99
2025-03-26,a6547000-d346-48c6-8e4f-8f2ddbeb183f,Laptop,999.99,3,NO_CODE,Chicago,USA,2999.97
2024-07-11,9dbb1e7d-f7a0-4726-84db-8985e132c0d2,Headphones,149.99,9,FREESHIP,Los Angeles,USA,1349.91
2024-08-02,6ff86ff8-525c-422a-ab80-4f3683342d68,Keyboard,89.99,3,NO_CODE,Leeds,UK,269.97
2025-01-13,e40c86a5-57b9-4494-ac90-26a8dbaa1f3b,Smartphone,699.99,1,10OFF,Birmingham,UK,699.99
2025-05-15,44ae9a15-f22c-47aa-89df-73277a0f8184,Keyboard,89.99,7,FREESHIP,Toronto,Canada,629.93
2025-01-25,032d54bf-e784-41cf-be3f-1eb64835d232,Headphones,149.99,2,10OFF,Phoenix,USA,299.98
2024-06-07,1910ab72-9a14-42f3-92c4-4de5592a9072,Monitor,249.99,6,20OFF,Leeds,UK,1499.94
2025-01-19,b930dece-3e2c-4fa3-b90b-8b888b60e1e6,Headphones,149.99,5,20OFF,Vancouver,Canada,749.95
2024-10-23,34e2c516-69c8-4390-b4fa-e61548fc1bf6,Headphones,149.99,1,20OFF,Birmingham,UK,149.99
2024-12-07,d014b1a1-ba6b-4c5d-951f-da7819dd9498,Monitor,249.99,8,20OFF,Houston,USA,1999.92
2024-08-16,8d864e0f-7a36-4e0d-805e-ae701231f6d9,Monitor,249.99,10,FREESHIP,Leeds,UK,2499.9
2024-11-20,37598b2a-9355-41e7-98f0-38fe35d319e6,Keyboard,89.99,5,FREESHIP,Toronto,Canada,449.95
2025-04-16,d11028c5-96bf-4fff-948f-2018ff67c986,Laptop,999.99,7,10OFF,Leeds,UK,6999.93
2024-06-04,fccf5ae2-83f2-4db3-8996-5e150a23de74,Laptop,999.99,10,20OFF,Phoenix,USA,9999.9
2024-11-10,101bab7d-1de5-407e-9d96-fb5fe9b217d6,Smartphone,699.99,4,,Montreal,Canada,2799.96
2024-10-30,9d36445b-9575-4bf5-abeb-3a51c14a3174,Headphones,149.99,7,20OFF,Calgary,Canada,1049.93
2024-10-14,67582970-114c-4cdf-8813-c381e3cfdeb5,Monitor,249.99,5,,Calgary,Canada,1249.95
2024-10-17,bce46de5-2c87-4529-bd89-43a8f96e73d4,Monitor,249.99,7,FREESHIP,London,UK,1749.93
